Game,Level,Score,TimeStep,TimeMinute
Starter Example Result,,,,
470,3,16970,5735,7.666666666666667E-4
471,5,25090,9567,0.0012666666666666666
472,1,5480,1672,2.0E-4
473,2,6630,2794,3.6666666666666667E-4
474,5,23110,9310,0.0011333333333333334
475,2,7310,3783,4.5E-4
476,4,22070,9141,0.0011666666666666668
477,4,19040,8294,0.00105
478,4,19880,8162,0.0011
479,2,6960,2463,3.333333333333333E-4
480,2,6700,2289,3.0E-4
481,1,5590,2522,2.8333333333333335E-4
482,7,28690,13281,0.0017
483,3,15220,5828,7.333333333333333E-4
484,4,17460,7680,9.833333333333332E-4
485,1,6780,1944,2.5E-4
486,2,8530,2334,3.1666666666666665E-4
487,2,5540,2404,3.0E-4
488,2,8100,3060,3.8333333333333334E-4
489,2,7870,2283,3.0E-4
490,3,18820,5549,7.166666666666666E-4
491,2,8530,2336,3.0E-4
492,1,6630,1082,1.3333333333333334E-4
493,4,19480,7047,9.0E-4
494,1,7180,2066,2.666666666666667E-4
495,2,6850,3491,4.6666666666666666E-4
496,3,18980,6586,8.5E-4
497,5,19910,9187,0.0012
498,1,8220,1934,2.3333333333333333E-4
499,2,9720,2474,3.1666666666666665E-4
500,4,18100,9220,0.0011166666666666666
501,2,5460,2564,3.5E-4
502,2,7730,3415,4.333333333333333E-4
503,6,24020,10472,0.0014166666666666668
504,6,25850,12428,0.0016166666666666666
505,2,7000,2448,3.1666666666666665E-4
506,1,3590,1607,2.1666666666666666E-4
507,2,7910,3016,4.0E-4
508,2,9080,2871,3.6666666666666667E-4
509,3,15150,6088,8.0E-4
510,7,35420,13524,0.0018
511,2,14160,4740,5.833333333333334E-4
512,3,16180,6836,8.5E-4
513,2,10800,3586,5.0E-4
514,1,5510,2218,2.666666666666667E-4
515,1,3860,2094,2.5E-4
516,2,12380,4730,5.833333333333334E-4
517,1,4620,1816,2.3333333333333333E-4
518,1,6010,2241,2.8333333333333335E-4
519,5,18750,7569,0.001
520,2,5920,3650,4.6666666666666666E-4
521,2,9510,2935,4.166666666666667E-4
522,4,19780,8636,0.0010833333333333333
523,1,4780,2626,2.8333333333333335E-4
524,3,13580,6237,8.0E-4
525,2,6260,3025,3.6666666666666667E-4
526,2,6450,3005,4.0E-4
527,2,11040,4371,5.833333333333334E-4
528,6,23670,9503,0.0012666666666666666
529,3,20620,6444,8.166666666666667E-4
530,3,15020,6230,8.0E-4
531,8,39490,16095,0.00205
532,2,8420,3519,4.5E-4
533,3,11610,4863,6.5E-4
534,5,25080,10585,0.0013666666666666666
535,3,19020,6877,8.833333333333333E-4
536,5,26840,9833,0.0012833333333333334
537,4,18270,7897,9.833333333333332E-4
538,2,6600,2304,3.0E-4
539,1,4280,1873,2.1666666666666666E-4
540,4,16440,7290,9.333333333333333E-4
541,1,4300,1707,2.1666666666666666E-4
542,5,23490,8488,0.0011166666666666666
543,2,7650,3329,4.0E-4
544,2,5240,3270,4.333333333333333E-4
545,2,6240,2986,4.0E-4
546,2,7340,3281,4.333333333333333E-4
547,1,4400,2001,2.5E-4
548,3,15160,5689,7.5E-4
549,5,23460,9379,0.0012333333333333332
550,3,15580,5885,7.5E-4
551,2,8660,1977,2.666666666666667E-4
552,3,15850,5537,7.166666666666666E-4
553,5,23570,10348,0.0013333333333333333
554,2,6790,2722,3.5E-4
555,1,6540,2001,2.3333333333333333E-4
556,2,10510,4329,5.5E-4
557,6,26850,11011,0.0014833333333333332
558,4,19900,9928,0.0013333333333333333
559,1,6960,1889,2.1666666666666666E-4
560,2,8100,3939,5.0E-4
561,4,16570,7461,9.5E-4
562,1,5090,1469,1.8333333333333334E-4
563,5,25130,10411,0.00135
564,6,25800,11423,0.0015
565,3,17750,7007,9.0E-4
566,3,17340,6238,8.0E-4
567,7,35370,13733,0.0018333333333333333
568,2,10170,4869,5.666666666666667E-4
569,2,11850,4435,5.5E-4
570,1,4330,1343,1.6666666666666666E-4
571,5,20600,9995,0.0013333333333333333
572,4,22460,9477,0.0011666666666666668
573,5,27000,9062,0.0011833333333333333
574,6,23750,11342,0.0014666666666666667
575,1,5960,2323,2.666666666666667E-4
576,3,18330,6917,8.666666666666666E-4
577,2,14180,4831,6.833333333333333E-4
578,4,21570,9790,0.0013666666666666666
579,1,7270,2001,2.666666666666667E-4
580,1,3080,1525,2.5E-4
581,4,21160,8011,0.0010666666666666667
582,4,18870,7343,9.833333333333332E-4
583,4,18290,6704,8.833333333333333E-4
584,2,4480,2831,3.8333333333333334E-4
585,2,7880,3260,4.6666666666666666E-4
586,1,5230,1909,2.8333333333333335E-4
587,5,22520,10519,0.0014666666666666667
588,2,5870,2982,3.8333333333333334E-4
589,2,14720,5678,7.333333333333333E-4
590,3,12320,5122,7.0E-4
591,4,20230,8118,0.0013
592,4,19260,9640,0.0012166666666666667
593,3,13360,8086,0.0010333333333333334
594,11,53280,22895,0.003033333333333333
595,4,19120,8072,0.0010166666666666666
596,4,19550,7328,0.001
597,3,9790,5035,6.833333333333333E-4
598,9,37010,18659,0.0025
599,2,7290,3200,3.6666666666666667E-4
600,2,9300,3494,5.333333333333334E-4
601,5,23190,10758,0.0014
602,3,12470,5474,6.666666666666666E-4
603,3,12730,5221,6.833333333333333E-4
604,5,23900,11456,0.0015333333333333334
605,4,18620,7012,8.833333333333333E-4
606,3,9270,4774,6.333333333333333E-4
607,2,9860,3723,5.5E-4
608,1,2260,1221,1.6666666666666666E-4
609,2,8270,4338,5.833333333333334E-4
610,2,7140,2473,3.333333333333333E-4
611,2,4640,2596,3.5E-4
612,1,5460,2500,3.0E-4
